timestamp,model,latency,response_length
1768915933.894015,gemini,2.064,35
1768915934.4189715,llama,2.586,88
1768915936.2067027,chatgpt,4.378,34
1768915990.5380929,chatgpt,2.411,34
1768915990.5411203,gemini,2.41,37
1768916008.6711278,llama,0.99,88
1768916009.7817383,gemini,2.104,35
1768916009.9883661,chatgpt,2.317,34
1768924697.3491905,gemini,1.622,35
1768924698.9460275,llama,3.206,89
1768924701.1190844,chatgpt,5.408,34
